name1,name2,size,repetition,similarity_threshold
fen,cookie,small,0,1.0
propcalc,cmake,small,0,0.75
metric,cmake,small,0,0.5
telephone,metric,small,0,0.25
telephone,cookie,small,0,0.001
url,tnt,small,1,0.25
fen,dice,small,1,0.001
dice,propcalc,small,1,0.5
telephone,cmake,small,1,1.0
telephone,dice,small,1,0.75
graphql,cool,medium,0,0.75
javadoc,unicode-classify,medium,0,0.5
javadoc,golang,medium,0,1.0
algol60,javadoc,medium,0,0.25
javadoc,snobol,medium,0,0.001
algol60,asm8080,medium,1,0.25
scss,golang,medium,1,0.001
algol60,graphql,medium,1,0.5
scss,graphql,medium,1,0.75
xdr,golang,medium,1,1.0
cobol85,cql3,large,0,1.0
objc-one-step,kotlin,large,0,0.25
asn_3gpp,cql3,large,0,0.75
asn_3gpp,csharp,large,0,0.001
swift2,kotlin,large,0,0.5
objc-one-step,tsql,large,1,0.25
kotlin,csharp,large,1,0.5
swift2,tsql,large,1,1.0
objc-one-step,csharp,large,1,0.001
cobol85,kotlin-formal,large,1,0.75
